# y+ ()       
# Time        	patch         	min           	max           	average       
0.002         	walls	1.393143e+01	3.591579e+02	4.647152e+01
0.004         	walls	2.029061e+01	7.086634e+02	6.302652e+01
0.006         	walls	2.040486e+01	7.211257e+02	6.422597e+01
0.008         	walls	2.007619e+01	7.250994e+02	6.432942e+01
0.01          	walls	2.022713e+01	7.134417e+02	6.401210e+01
0.012         	walls	1.997684e+01	7.080785e+02	6.383761e+01
0.014         	walls	2.025261e+01	7.076120e+02	6.380959e+01
0.016         	walls	2.055695e+01	7.100595e+02	6.383463e+01
0.018         	walls	2.030334e+01	7.126717e+02	6.392156e+01
0.02          	walls	2.030044e+01	7.145029e+02	6.397315e+01
0.022         	walls	2.020215e+01	7.147570e+02	6.399936e+01
0.024         	walls	2.064468e+01	7.145978e+02	6.398053e+01
0.026         	walls	2.015887e+01	7.140709e+02	6.399048e+01
