# y+ ()       
# Time        	patch         	min           	max           	average       
0.001         	walls	4.399780e-01	1.477118e+01	6.481075e+00
0.002         	walls	7.449362e-01	3.203723e+01	1.112496e+01
0.003         	walls	2.679562e-01	3.233341e+01	1.152006e+01
0.004         	walls	4.051230e-01	3.554118e+01	1.354729e+01
0.005         	walls	8.960014e-01	4.507665e+01	1.374478e+01
0.006         	walls	2.289231e-01	4.569445e+01	1.458997e+01
0.007         	walls	1.218020e-01	5.357712e+01	1.487717e+01
0.008         	walls	1.152282e-01	6.252412e+01	1.579370e+01
0.009         	walls	3.483572e-01	9.771271e+01	1.739603e+01
0.01          	walls	5.670140e-01	1.103521e+02	1.822933e+01
0.011         	walls	8.966969e-01	1.210465e+02	1.890928e+01
0.012         	walls	7.321820e-01	1.313749e+02	1.950822e+01
0.013         	walls	7.351533e-01	1.379158e+02	1.996149e+01
0.014         	walls	1.274107e+00	1.438967e+02	2.046853e+01
0.015         	walls	4.043754e+00	1.469231e+02	2.090209e+01
0.016         	walls	4.603351e+00	1.492131e+02	2.129812e+01
0.017         	walls	4.774621e+00	1.501668e+02	2.167304e+01
0.018         	walls	4.845272e+00	1.503324e+02	2.199693e+01
0.019         	walls	4.923932e+00	1.502416e+02	2.230187e+01
0.02          	walls	4.984855e+00	1.499423e+02	2.253008e+01
0.021         	walls	5.069293e+00	1.495818e+02	2.267323e+01
0.022         	walls	5.060119e+00	1.494873e+02	2.278137e+01
0.023         	walls	5.249718e+00	1.494939e+02	2.286453e+01
0.024         	walls	5.312364e+00	1.493507e+02	2.292210e+01
0.025         	walls	5.347144e+00	1.492179e+02	2.295927e+01
0.026         	walls	5.370403e+00	1.491915e+02	2.299033e+01
0.027         	walls	5.439986e+00	1.491422e+02	2.301742e+01
0.028         	walls	5.420437e+00	1.491090e+02	2.302926e+01
0.029         	walls	5.403531e+00	1.490937e+02	2.303874e+01
0.03          	walls	5.428499e+00	1.490767e+02	2.304805e+01
0.032         	walls	5.293780e+00	1.492053e+02	2.306746e+01
0.034         	walls	5.525174e+00	1.491870e+02	2.306856e+01
0.036         	walls	5.463484e+00	1.492074e+02	2.307753e+01
0.038         	walls	5.458266e+00	1.491895e+02	2.307711e+01
0.04          	walls	5.364939e+00	1.491814e+02	2.308024e+01
0.042         	walls	5.389665e+00	1.491576e+02	2.307779e+01
0.044         	walls	5.493508e+00	1.491770e+02	2.308449e+01
0.046         	walls	5.439892e+00	1.491563e+02	2.307787e+01
0.048         	walls	5.443502e+00	1.491938e+02	2.308067e+01
0.05          	walls	5.445888e+00	1.491830e+02	2.308258e+01
0.052         	walls	5.528396e+00	1.491631e+02	2.308284e+01
0.054         	walls	5.368693e+00	1.491569e+02	2.308058e+01
0.056         	walls	5.536295e+00	1.491584e+02	2.308276e+01
0.058         	walls	5.431519e+00	1.491531e+02	2.307748e+01
