# y+ ()       
# Time        	patch         	min           	max           	average       
0.043         	walls	5.413038e+00	3.993993e+01	1.500488e+01
0.043         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.044         	walls	5.385078e+00	3.994035e+01	1.500371e+01
0.044         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.045         	walls	5.340808e+00	3.993978e+01	1.500313e+01
0.045         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.046         	walls	5.402628e+00	3.993943e+01	1.500445e+01
0.046         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.047         	walls	5.393425e+00	3.993921e+01	1.500431e+01
0.047         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.048         	walls	5.360572e+00	3.993985e+01	1.500332e+01
0.048         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.049         	walls	5.368426e+00	3.994000e+01	1.500235e+01
0.049         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.05          	walls	5.351911e+00	3.993957e+01	1.500310e+01
0.05          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.051         	walls	5.388512e+00	3.993951e+01	1.500329e+01
0.051         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.052         	walls	5.383993e+00	3.993957e+01	1.500234e+01
0.052         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.053         	walls	5.402794e+00	3.993978e+01	1.500405e+01
0.053         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.054         	walls	5.351313e+00	3.993990e+01	1.500283e+01
0.054         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.055         	walls	5.371864e+00	3.993970e+01	1.500361e+01
0.055         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.056         	walls	5.397607e+00	3.993952e+01	1.500384e+01
0.056         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.057         	walls	5.365887e+00	3.993969e+01	1.500197e+01
0.057         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.058         	walls	5.351724e+00	3.993965e+01	1.500338e+01
0.058         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.059         	walls	5.367016e+00	3.993972e+01	1.500216e+01
0.059         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.06          	walls	5.397065e+00	3.993973e+01	1.500406e+01
0.06          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.061         	walls	5.394153e+00	3.993969e+01	1.500370e+01
0.061         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.062         	walls	5.390378e+00	3.993957e+01	1.500368e+01
0.062         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.063         	walls	5.421977e+00	3.993971e+01	1.500386e+01
0.063         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.064         	walls	5.406904e+00	3.993963e+01	1.500302e+01
0.064         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.065         	walls	5.356676e+00	3.993966e+01	1.500427e+01
0.065         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.066         	walls	5.399190e+00	3.993963e+01	1.500330e+01
0.066         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.067         	walls	5.340172e+00	3.993977e+01	1.500228e+01
