# y+ ()       
# Time        	patch         	min           	max           	average       
0.002         	walls	5.875781e-01	5.189707e+01	1.285462e+01
0.002         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.004         	walls	1.599257e+00	3.340669e+01	1.452938e+01
0.004         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.006         	walls	1.611038e+00	3.481788e+01	1.463274e+01
0.006         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.008         	walls	3.152122e+00	3.445408e+01	1.461120e+01
0.008         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.01          	walls	3.239607e+00	3.474543e+01	1.511355e+01
0.01          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.012         	walls	2.517993e+00	3.877696e+01	1.537438e+01
0.012         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.014         	walls	2.744072e+00	4.183232e+01	1.544110e+01
0.014         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.016         	walls	2.472405e+00	4.518488e+01	1.580019e+01
0.016         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.018         	walls	1.424170e-01	4.705710e+01	1.672648e+01
0.018         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.02          	walls	1.770564e+00	4.915684e+01	1.790436e+01
0.02          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.022         	walls	5.129535e+00	5.114045e+01	1.872313e+01
0.022         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.024         	walls	5.474265e+00	5.228753e+01	1.937078e+01
0.024         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.026         	walls	5.751528e+00	5.294604e+01	1.976238e+01
0.026         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.028         	walls	5.921666e+00	5.323468e+01	1.992022e+01
0.028         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.03          	walls	5.994578e+00	5.335039e+01	1.998852e+01
0.03          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.032         	walls	6.028702e+00	5.340117e+01	2.001822e+01
0.032         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.034         	walls	6.045099e+00	5.342183e+01	2.003140e+01
0.034         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.036         	walls	6.055943e+00	5.343146e+01	2.003737e+01
0.036         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.038         	walls	6.064943e+00	5.343588e+01	2.003998e+01
0.038         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.04          	walls	6.063735e+00	5.343750e+01	2.004106e+01
0.04          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.042         	walls	6.060099e+00	5.343808e+01	2.004152e+01
0.042         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.044         	walls	6.053540e+00	5.343816e+01	2.004171e+01
0.044         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.046         	walls	6.053818e+00	5.343815e+01	2.004178e+01
0.046         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.048         	walls	6.055496e+00	5.343816e+01	2.004180e+01
0.048         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.05          	walls	6.060056e+00	5.343817e+01	2.004179e+01
0.05          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.052         	walls	6.066580e+00	5.343820e+01	2.004180e+01
0.052         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.054         	walls	6.064425e+00	5.343821e+01	2.004180e+01
0.054         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.056         	walls	6.060414e+00	5.343822e+01	2.004182e+01
0.056         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.058         	walls	6.053690e+00	5.343822e+01	2.004183e+01
0.058         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.06          	walls	6.053883e+00	5.343821e+01	2.004184e+01
0.06          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.062         	walls	6.055518e+00	5.343821e+01	2.004182e+01
0.062         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.064         	walls	6.060060e+00	5.343821e+01	2.004180e+01
0.064         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.066         	walls	6.066579e+00	5.343821e+01	2.004180e+01
0.066         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.068         	walls	6.064424e+00	5.343821e+01	2.004181e+01
0.068         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.07          	walls	6.060414e+00	5.343821e+01	2.004182e+01
0.07          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.072         	walls	6.053691e+00	5.343821e+01	2.004184e+01
0.072         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.074         	walls	6.053883e+00	5.343821e+01	2.004184e+01
0.074         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.076         	walls	6.055518e+00	5.343821e+01	2.004183e+01
0.076         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.078         	walls	6.060060e+00	5.343821e+01	2.004180e+01
0.078         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.08          	walls	6.066579e+00	5.343821e+01	2.004180e+01
0.08          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.082         	walls	6.064424e+00	5.343821e+01	2.004180e+01
0.082         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.084         	walls	6.060414e+00	5.343821e+01	2.004182e+01
0.084         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.086         	walls	6.053691e+00	5.343821e+01	2.004184e+01
0.086         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.088         	walls	6.053883e+00	5.343821e+01	2.004183e+01
0.088         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.09          	walls	6.055518e+00	5.343821e+01	2.004182e+01
0.09          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.092         	walls	6.060060e+00	5.343821e+01	2.004180e+01
0.092         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.094         	walls	6.066579e+00	5.343821e+01	2.004180e+01
0.094         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.096         	walls	6.064424e+00	5.343821e+01	2.004180e+01
0.096         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.098         	walls	6.060414e+00	5.343821e+01	2.004182e+01
0.098         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.1           	walls	6.053691e+00	5.343821e+01	2.004184e+01
0.1           	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.102         	walls	6.053883e+00	5.343821e+01	2.004184e+01
0.102         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.104         	walls	6.055518e+00	5.343821e+01	2.004182e+01
0.104         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.106         	walls	6.060060e+00	5.343821e+01	2.004180e+01
0.106         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
