# y+ ()       
# Time        	patch         	min           	max           	average       
0.002         	walls	3.937607e-01	4.161326e+01	1.182125e+01
0.004         	walls	7.752639e-01	4.372084e+01	1.436083e+01
0.006         	walls	6.973158e-01	4.376747e+01	1.529770e+01
0.008         	walls	1.797024e-01	4.514800e+01	1.582621e+01
0.01          	walls	7.615459e-01	2.312442e+02	2.049344e+01
0.012         	walls	1.352399e+00	3.002138e+02	2.373441e+01
0.014         	walls	1.006561e+00	3.376458e+02	2.560531e+01
0.016         	walls	6.273464e+00	3.490645e+02	2.681259e+01
0.018         	walls	6.488788e+00	3.472192e+02	2.745466e+01
0.02          	walls	6.763953e+00	3.448752e+02	2.782388e+01
0.022         	walls	6.972019e+00	3.440604e+02	2.799138e+01
0.024         	walls	7.069653e+00	3.438337e+02	2.806974e+01
0.026         	walls	7.114576e+00	3.437286e+02	2.810572e+01
0.028         	walls	7.150713e+00	3.436832e+02	2.812163e+01
0.03          	walls	7.151935e+00	3.436337e+02	2.812634e+01
0.032         	walls	7.160108e+00	3.435930e+02	2.813072e+01
0.034         	walls	7.182636e+00	3.435379e+02	2.813223e+01
0.036         	walls	7.132437e+00	3.435625e+02	2.812853e+01
0.038         	walls	7.155481e+00	3.435827e+02	2.813777e+01
0.04          	walls	7.159454e+00	3.435812e+02	2.813021e+01
0.042         	walls	7.161965e+00	3.435268e+02	2.813151e+01
0.044         	walls	7.157988e+00	3.435015e+02	2.812826e+01
0.046         	walls	7.162638e+00	3.435285e+02	2.812911e+01
0.048         	walls	7.155205e+00	3.434829e+02	2.813165e+01
