# y+ ()       
# Time        	patch         	min           	max           	average       
0.005         	walls	2.149345e-01	6.332726e+01	1.689780e+01
0.01          	walls	1.265998e-01	7.216893e+01	1.856544e+01
0.015         	walls	1.040494e-01	7.217626e+01	1.870480e+01
0.02          	walls	2.571227e-01	7.235249e+01	1.891093e+01
0.025         	walls	3.070361e-01	7.226371e+01	1.902061e+01
0.03          	walls	3.246405e-01	7.230237e+01	1.904755e+01
0.035         	walls	3.312862e-01	7.229788e+01	1.905507e+01
0.04          	walls	3.290945e-01	7.229814e+01	1.906026e+01
0.045         	walls	3.332362e-01	7.229978e+01	1.906368e+01
0.05          	walls	3.321248e-01	7.230078e+01	1.906792e+01
0.055         	walls	3.295066e-01	7.230192e+01	1.907215e+01
0.06          	walls	3.301420e-01	7.230226e+01	1.907509e+01
0.065         	walls	3.300597e-01	7.230321e+01	1.907717e+01
0.07          	walls	3.303021e-01	7.230386e+01	1.908002e+01
0.075         	walls	3.288944e-01	7.230564e+01	1.908078e+01
0.08          	walls	3.284176e-01	7.230639e+01	1.908318e+01
0.085         	walls	3.303332e-01	7.230763e+01	1.908514e+01
0.09          	walls	3.310609e-01	7.230902e+01	1.908695e+01
0.095         	walls	3.271175e-01	7.230996e+01	1.908911e+01
0.1           	walls	3.285129e-01	7.231107e+01	1.909022e+01
0.105         	walls	3.325583e-01	7.231219e+01	1.909245e+01
0.11          	walls	3.286057e-01	7.231351e+01	1.909383e+01
0.115         	walls	3.297174e-01	7.231568e+01	1.909460e+01
0.12          	walls	3.323775e-01	7.231518e+01	1.909666e+01
0.125         	walls	3.306714e-01	7.231573e+01	1.909794e+01
0.13          	walls	3.343225e-01	7.231758e+01	1.909914e+01
0.135         	walls	3.322712e-01	7.231738e+01	1.910150e+01
0.14          	walls	3.344156e-01	7.231811e+01	1.910167e+01
0.145         	walls	3.313850e-01	7.231905e+01	1.910226e+01
0.15          	walls	3.355533e-01	7.231949e+01	1.910315e+01
0.155         	walls	3.293865e-01	7.232072e+01	1.910432e+01
0.16          	walls	3.315813e-01	7.232010e+01	1.910580e+01
0.165         	walls	3.332550e-01	7.232114e+01	1.910579e+01
0.17          	walls	3.322021e-01	7.232160e+01	1.910637e+01
0.175         	walls	3.286520e-01	7.232275e+01	1.910751e+01
0.18          	walls	3.315491e-01	7.232322e+01	1.910817e+01
