# y+ ()       
# Time        	patch         	min           	max           	average       
0.005         	walls	1.923264e-01	3.220518e+01	7.850593e+00
0.005         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.01          	walls	1.949800e+00	3.351171e+01	9.670796e+00
0.01          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.015         	walls	3.537802e+00	3.435217e+01	1.084295e+01
0.015         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.02          	walls	3.945376e+00	3.414021e+01	1.111685e+01
0.02          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.025         	walls	4.026377e+00	3.406708e+01	1.118254e+01
0.025         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.03          	walls	4.074270e+00	3.407142e+01	1.119724e+01
0.03          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.035         	walls	4.078742e+00	3.407065e+01	1.120470e+01
0.035         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.04          	walls	4.070717e+00	3.406715e+01	1.120947e+01
0.04          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.045         	walls	4.074911e+00	3.405731e+01	1.120819e+01
0.045         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.05          	walls	4.080441e+00	3.407257e+01	1.120787e+01
0.05          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.055         	walls	4.079560e+00	3.406422e+01	1.120958e+01
0.055         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.06          	walls	4.069713e+00	3.405033e+01	1.120994e+01
0.06          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.065         	walls	4.080099e+00	3.407436e+01	1.121030e+01
0.065         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.07          	walls	4.079421e+00	3.405971e+01	1.120968e+01
0.07          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.075         	walls	4.073251e+00	3.406046e+01	1.120997e+01
0.075         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.08          	walls	4.075465e+00	3.407397e+01	1.120995e+01
0.08          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.085         	walls	4.071769e+00	3.407121e+01	1.120988e+01
0.085         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.09          	walls	4.081450e+00	3.408292e+01	1.120965e+01
0.09          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.095         	walls	4.063620e+00	3.405107e+01	1.121008e+01
0.095         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.1           	walls	4.072850e+00	3.405495e+01	1.120985e+01
0.1           	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.105         	walls	4.072020e+00	3.408242e+01	1.121005e+01
0.105         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.11          	walls	4.077937e+00	3.407203e+01	1.120972e+01
0.11          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
